name,iters,mode,reward_first,reward_mid,reward_last,tool_rate_last,tool_success_last,clip_last,mean_len_last,mean_reward_avg
agent_notool_finalonly,20,no-tool,0.6666666666666666,0.625,0.75,0.0,0.0,0.27988606138447064,343.1666666666667,0.70625
agent_tool_finalonly,20,tool,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.0,0.0,0.27158493741143125,352.8333333333333,0.71875
agent_tool_process,20,tool,0.3333333333333333,0.3541666666666667,0.3333333333333333,0.0,0.0,0.27158493741143125,352.8333333333333,0.359375
agent_tool_toolbonus,20,tool,0.6666666666666666,0.7083333333333334,0.6666666666666666,0.0,0.0,0.27158493741143125,352.8333333333333,0.71875
stab_clip0_ent0,30,stab,0.75,0.7916666666666666,0.6666666666666666,,,0.27668089371615395,361.625,0.6986111111111111
stab_clip0_ent1e2,30,stab,0.75,0.625,0.6666666666666666,,,0.27748105720946914,348.5,0.6916666666666667
stab_clip3_ent0,30,stab,0.75,0.7916666666666666,0.6666666666666666,,,0.27668089371615395,361.625,0.6986111111111111
stab_clip3_ent1e2,30,stab,0.75,0.625,0.6666666666666666,,,0.27748105720946914,348.5,0.6916666666666667
